Key,Section,Priority for native review,English (source),Thai (current — revise this),Thai revised (native fill),Notes
home.clipP,Home,Medium,Watch a live search land in the Immigration pack — then ready to speak.,ดูการค้นหาสดที่ลงในชุด Immigration — พร้อมกดพูด,,
home.tryEyebrow,Home,Medium,Live engine,เครื่องยนต์สด,,
home.tryH,Home,Medium,Try it out,ลองใช้,,
home.tryLead,Home,Medium,Type English to get Thai + RTGS (hear Thai). Type Thai to get the English translation (hear English).,พิมพ์อังกฤษเพื่อได้ไทย + RTGS (ฟังไทย) พิมพ์ไทยเพื่อได้คำแปลอังกฤษ (ฟังอังกฤษ),,
home.tryLabel,Home,Low (UI short),English or Thai,อังกฤษหรือไทย,,
home.tryPlaceholder,Home,Medium,e.g. train station or สถานีรถไฟ,เช่น train station หรือ สถานีรถไฟ,,
home.tryBtn,Home,Low (UI short),Look up now,ค้นหาเลย,,
home.tryClear,Home,Low (UI short),Clear,ล้าง,,
home.tryThaiLabel,Home,Medium,Thai,ภาษาไทย,,
home.tryEnglishLabel,Home,Medium,English,ภาษาอังกฤษ,,
home.tryResultLabel,Home,Medium,Precision RTGS — editable,RTGS แม่นยำ — แก้ไขได้,,
home.tryEditHint,Home,Medium,Edit to match how you hear and say it,แก้ให้ตรงกับที่คุณได้ยินและพูด,,
home.tryEditNote,Home,Medium,Same as in the app: save the spelling that helps you speak under pressure.,เหมือนในแอป: บันทึกการสะกดที่ช่วยให้คุณพูดได้ตอนสถานการณ์จริง,,
home.trySpeak,Home,Low (UI short),Hear it,ฟัง,,
home.tryCustomH,Home,High (brand voice),Make the sound yours,ทำให้เสียงเป็นของคุณ,,
home.tryCustomP1,Home,High (brand voice),"Moving from Thai script into Latin letters is never a perfect one-to-one map. Official RTGS gives a precise, shareable start — but your ear may prefer sa-tha-nee over sathani, or a space that marks a breath you actually take when speaking.",การย้ายจากตัวอักษรไทยไปยังตัวโรมันไม่ใช่การจับคู่หนึ่งต่อหนึ่ง RTGS อย่างเป็นทางการให้จุดเริ่มที่แม่นยำและใช้ร่วมกันได้ — แต่หูคุณอาจชอบ sa-tha-nee มากกว่า sathani หรือช่องว่างที่บอกจังหวะหายใจตอนพูดจริง,,
home.tryCustomP2,Home,High (brand voice),"In Thai Recall you can edit the transliteration before you save a phrase. That small customisation is pedagogical: the cue you rehearse is the cue you will retrieve when the conversation is already moving. Ownership of the sound form speeds noticing, memory, and real-time production.",ใน Thai Recall คุณแก้การถอดเสียงก่อนบันทึกวลีได้ การปรับเล็กน้อยนี้เป็นการเรียนรู้: สัญญาณที่คุณซ้อม คือสัญญาณที่คุณจะเรียกคืนเมื่อบทสนทนาเดินไปแล้ว การเป็นเจ้าของรูปเสียงช่วยให้สังเกต จำ และพูดทันได้เร็วขึ้น,,
home.tryCustomP3,Home,High (brand voice),"Use the engine’s RTGS directly, or reshape it to your style — both are valid paths to speaking Thai faster.",ใช้ RTGS จากเครื่องยนต์ตรง ๆ หรือปรับตามสไตล์คุณ — ทั้งสองทางช่วยให้พูดไทยได้เร็วขึ้น,,
home.tryProcessing,Home,Medium,Processing…,กำลังประมวลผล…,,
home.tryError,Home,Medium,Could not reach the engine. Try again.,เชื่อมต่อเครื่องยนต์ไม่ได้ ลองอีกครั้ง,,
home.tryInvalid,Home,Medium,Please enter a real English phrase or Thai text — not random letters or keyboard mash.,กรุณาใส่วลีอังกฤษหรือข้อความไทยจริง — ไม่ใช่ตัวอักษรสุ่มหรือกดแป้นมั่ว,,
home.creatorEyebrow,Home,High (brand voice),Creator,ผู้สร้าง,,
home.quote,Home,High (brand voice),“I built the tool I wished I had when face-to-face Thai moved faster than my grammar.”,“ผมสร้างเครื่องมือที่เคยอยากได้ เมื่อการพูดไทยต่อหน้าเร็วเกินไวยากรณ์ในหัว”,,
home.creatorP1,Home,High (brand voice),"Graham’s path into Thai didn’t start in a software lab — it started on the ground, living inside the culture. Like many long-term residents, he hit the wall: strong vocabulary, slow real-time production.",เส้นทางภาษาไทยของ Graham ไม่ได้เริ่มในแล็บซอฟต์แวร์ — เริ่มบนพื้นจริง ในวัฒนธรรม เหมือนผู้อยู่อาศัยระยะยาวหลายคน เขาชนกำแพง: คำศัพท์แน่น แต่ผลิตประโยคไม่ทัน,,
home.creatorP2,Home,High (brand voice),"Drawing on postgraduate work in Educational Technology and ELT at The University of Manchester (MEd, 2003), he designed Thai Recall around situational phrases, learner autonomy, and the phonological loop — including the single-earbud technique that keeps one ear in the live conversation.","จากการศึกษาปริญญาโทด้านเทคโนโลยีการศึกษาและ ELT ที่มหาวิทยาลัยแมนเชสเตอร์ (MEd, 2003) เขาออกแบบ Thai Recall รอบวลีตามสถานการณ์ อิสระของผู้เรียน และ phonological loop — รวมเทคนิคหูฟังข้างเดียวที่ให้อีกข้างอยู่ในบทสนทนาจริง",,
home.fullStory,Home,Medium,Full story,อ่านเรื่องราวเต็ม,,
home.footerBio,Home,Medium,Designed by an MEd Educational Technology & ELT alumnus (University of Manchester). Curated for authentic local Thai delivery.,ออกแบบโดยศิษย์เก่า MEd เทคโนโลยีการศึกษา & ELT (มหาวิทยาลัยแมนเชสเตอร์) คัดสรรเพื่อการพูดไทยที่สมจริง,,
home.footerLinks,Home,Medium,© 2026 Thai Recall ·,© 2026 Thai Recall ·,,
footer.privacy,Footer,Low (UI short),Privacy,ความเป็นส่วนตัว,,
footer.download,Footer,Low (UI short),Download,ดาวน์โหลด,,
how.eyebrow,How it works,High (brand voice),The science of speed,วิทยาศาสตร์ของความเร็ว,,
how.h1,How it works,High (brand voice),From missing word to spoken phrase,จากคำที่นึกไม่ออก สู่ประโยคที่พูดได้,,
how.lead,How it works,High (brand voice),How Thai Recall bridges the gap between hearing what you need and saying it while the conversation is still alive.,Thai Recall เชื่อมช่องว่างระหว่างการได้ยินสิ่งที่ต้องการ กับการพูดออกไป ในขณะที่บทสนทนายังดำเนินอยู่,,
how.s1h,How it works,High (brand voice),Open your situational toolkit,เปิดคลังตามสถานการณ์,,
how.s1p,How it works,High (brand voice),"Search English for the phrase you almost know, or browse curated packs — markets, medical, travel, idioms. Built on the lexical approach: ready-made chunks beat building sentences word by word under pressure.",ค้นหาภาษาอังกฤษเพื่อวลีที่เกือบจะนึกออก หรือเลือกชุดที่คัดไว้ — ตลาด การแพทย์ การเดินทาง สำนวน แนว lexical approach: ชิ้นวลีสำเร็จรูปเร็วกว่าประกอบประโยคทีละคำตอนกดดัน,,
how.s2h,How it works,High (brand voice),Patch gaps in real time,อุดช่องว่างแบบเรียลไทม์,,
how.s2p,How it works,High (brand voice),"If it isn’t in your library yet, look it up. Thai Recall fetches translation and pronunciation, then lets you save it to your personal list — learner autonomy, not a fixed syllabus.",ถ้ายังไม่มีในคลัง ให้ค้นหา Thai Recall ดึงคำแปลและวิธีอ่าน แล้วให้คุณบันทึกลงรายการส่วนตัว — อิสระของผู้เรียน ไม่ใช่หลักสูตรตายตัว,,
how.s3h,How it works,High (brand voice),Single-earbud acoustic anchor,จุดยึดเสียงด้วยหูฟังข้างเดียว,,
how.s3p,How it works,High (brand voice),"Listen in one ear. Keep the other open to the room. You copy tone and rhythm while staying socially present — phonological loop plus output practice, without isolating yourself from the person you’re talking to.",ฟังข้างเดียว อีกข้างเปิดรับห้อง คุณเลียนโทนและจังหวะโดยยังอยู่ในสังคม — phonological loop บวกการฝึกพูด โดยไม่ตัดตัวเองจากคนตรงหน้า,,
how.s4h,How it works,High (brand voice),Lock it with recall practice,ล็อกด้วยการฝึกทบทวน,,
how.s4p,How it works,High (brand voice),Favourites and spaced repetition bring phrases back when memory needs work. Retrieval practice moves language from “I know it somewhere” to “I can say it now.”,รายการโปรดและการทบทวนแบบเว้นระยะดึงวลีกลับมาเมื่อความจำต้องการงาน การเรียกคืนช่วยย้ายภาษาจาก “รู้ซักที่” เป็น “พูดได้ตอนนี้”,,
how.cap1,How it works,High (brand voice),Lookup · ready to Speak,ค้นหา · พร้อมกดพูด,,
how.cap2,How it works,High (brand voice),Reconstruct a memory challenge,ประกอบประโยคในแบบทดสอบความจำ,,
how.cta,How it works,High (brand voice),Download Thai Recall,ดาวน์โหลด Thai Recall,,
how.footer,How it works,High (brand voice),© 2026 ·,© 2026 ·,,
how.home,How it works,High (brand voice),Home,หน้าแรก,,
ped.eyebrow,Pedagogy,High (brand voice),Theory that survives the street,ทฤษฎีที่รอดบนถนนจริง,,
ped.h1,Pedagogy,High (brand voice),Myth versus how memory actually works,ความเชื่อผิด ๆ กับวิธีที่ความจำทำงานจริง,,
ped.lead,Pedagogy,High (brand voice),"Thai and English sit far apart on the linguistic tree. The brain that speaks them does not. Thai Recall optimises sound, situation, and retrieval — not English grammar mapped onto Thai words.",ไทยกับอังกฤษอยู่คนละกิ่งของต้นไม้ภาษา แต่สมองที่พูดทั้งสองไม่ต่าง Thai Recall ปรับเสียง สถานการณ์ และการเรียกคืน — ไม่ใช่ยัดไวยากรณ์อังกฤษลงบนคำไทย,,
ped.q1,Pedagogy,High (brand voice),Can Western ELT ideas apply to a tonal language?,แนว ELT ตะวันตกใช้กับภาษาวรรณยุกต์ได้หรือ?,,
ped.q1a,Pedagogy,High (brand voice),Myth: Thai is too different; Western methods won’t transfer.,ความเชื่อ: ไทยต่างเกินไป วิธีตะวันตกใช้ไม่ได้,,
ped.q1b,Pedagogy,High (brand voice),"Practice: Grammar systems differ; human working memory does not. Thai Recall leans on universal processes — phonological loop, noticing, chunked phrases — instead of forcing English sentence trees onto Thai.",การปฏิบัติ: ระบบไวยากรณ์ต่าง แต่ความจำทำงานของมนุษย์ไม่ต่าง Thai Recall ใช้กระบวนการสากล — phonological loop การสังเกต ชิ้นวลี — ไม่บังคับต้นไม้ประโยคอังกฤษลงบนไทย,,
ped.q2,Pedagogy,High (brand voice),Why a single earbud for tones?,ทำไมหูฟังข้างเดียวถึงช่วยโทน?,,
ped.q2a,Pedagogy,High (brand voice),Myth: Western speakers will always impose English pitch habits.,ความเชื่อ: คนตะวันตกจะยัดโทนอังกฤษเสมอ,,
ped.q2b,Pedagogy,High (brand voice),Practice: Reading karaoke script first often triggers those habits. Streaming native audio into one ear supports imitation while the other ear stays in the live interaction — you copy tone without leaving the room.,การปฏิบัติ: อ่านสคริปต์คาราโอเกะก่อนมักกระตุ้นนิสัยนั้น การสตรีมเสียงเจ้าของภาษาเข้าหูข้างเดียวช่วยเลียนแบบ ขณะอีกข้างอยู่ในปฏิสัมพันธ์จริง — คัดลอกโทนโดยไม่ออกจากห้อง,,
ped.q3,Pedagogy,High (brand voice),Phrases over isolated words?,วลีสำคัญกว่าคำแยก?,,
ped.q3a,Pedagogy,High (brand voice),Myth: You must master word lists and abstract rules first.,ความเชื่อ: ต้องจำรายการคำและกฎนามธรรมก่อน,,
ped.q3b,Pedagogy,High (brand voice),"Practice: Thai thrives on formulaic sequences. Situational stock phrases — “How much is this?”, market talk, temple plans after coffee — accelerate usable fluency more than vocabulary lists alone.",การปฏิบัติ: ไทยเก่งเรื่องลำดับสูตรสำเร็จ วลีตามสถานการณ์ — “ราคาเท่าไหร่” พูดในตลาด แผนไปวัดหลังกาแฟ — เร่งความคล่องที่ใช้ได้จริงกว่าบัญชีคำศัพท์อย่างเดียว,,
ped.q4,Pedagogy,High (brand voice),Is machine translation enough?,แปลด้วยเครื่องพอหรือยัง?,,
ped.q4a,Pedagogy,High (brand voice),Myth: Automation always sounds stiff or culturally off.,ความเชื่อ: อัตโนมัติฟังแข็งหรือผิดวัฒนธรรมเสมอ,,
ped.q4b,Pedagogy,High (brand voice),Practice: Live lookup is a patch for urgent utility. Core packs are curated for everyday authenticity — including review with decades of shared Thai family life — so what you practise is what locals say.,การปฏิบัติ: การค้นหาสดเป็นแผ่นปะสำหรับความจำเป็นด่วน ชุดหลักคัดเพื่อความจริงในชีวิตประจำวัน — รวมการทบทวนจากชีวิตครอบครัวไทยร่วมกันยาวนาน — ให้สิ่งที่ฝึกคือสิ่งที่คนท้องถิ่นพูด,,
ped.srEyebrow,Pedagogy,High (brand voice),Memory that returns on time,ความจำที่กลับมาทันเวลา,,
ped.srH,Pedagogy,High (brand voice),Spaced Repetition,การทบทวนแบบเว้นระยะ,,
ped.srLead,Pedagogy,High (brand voice),Understanding a phrase once is not the same as saying it when the tuk-tuk is already moving. Spaced Repetition is how Thai Recall turns a lucky lookup into a phrase you can produce under pressure.,เข้าใจวลีครั้งเดียว ไม่เหมือนพูดได้ตอนรถตุ๊กตุ๊กกำลังเคลื่อนแล้ว การทบทวนแบบเว้นระยะคือวิธีที่ Thai Recall เปลี่ยนการค้นหาครั้งหนึ่งให้เป็นวลีที่ผลิตได้ตอนกดดัน,,
ped.srP1,Pedagogy,High (brand voice),"After you save something you needed in real life, the app brings it back in short memory challenges — not every day in a pile, but at widening intervals. That spacing is the point: a little forgetting makes retrieval harder, and harder retrieval makes the memory stick.",เมื่อคุณบันทึกสิ่งที่ต้องการในชีวิตจริง แอปจะนำกลับมาในแบบทดสอบความจำสั้น ๆ — ไม่ใช่ทุกวันเป็นกอง แต่เป็นช่วงห่างที่กว้างขึ้นเรื่อย ๆ จุดสำคัญคือการเว้นระยะ: ลืมเล็กน้อยทำให้เรียกคืนยากขึ้น และการเรียกคืนที่ยากทำให้ความจำแน่นขึ้น,,
ped.srP2,Pedagogy,High (brand voice),"This is desirable difficulty in practice. You are not cramming a syllabus; you are rehearsing the exact stock phrases your conversations already asked for. When a challenge appears, you try to recall, listen if you need the earbud cue, speak, and continue building the habit of output — not recognition alone.",นี่คือ desirable difficulty ในทางปฏิบัติ คุณไม่ได้คร่ำหลักสูตร แต่ซ้อมวลีสำเร็จรูปที่บทสนทนาของคุณถามหาอยู่แล้ว เมื่อมีแบบทดสอบ คุณพยายามนึก ฟังหากต้องการสัญญาณจากหูฟัง พูดออกไป แล้วสร้างนิสัยของการผลิต — ไม่ใช่แค่การจำได้ตอนเห็น,,
ped.srP3,Pedagogy,High (brand voice),"Favourites and Spaced Repetition work together: pin what matters most, then let the schedule return it until “I knew that somewhere” becomes “I can say it now.”",รายการโปรดกับการทบทวนแบบเว้นระยะทำงานคู่กัน: ปักหมุดสิ่งสำคัญ แล้วให้ตารางเวลานำกลับมาจน “เคยรู้ที่ไหนสักแห่ง” กลายเป็น “พูดได้ตอนนี้”,,
ped.bespokeEyebrow,Pedagogy,High (brand voice),When the machine is not enough,เมื่อเครื่องแปลยังไม่พอ,,
ped.bespokeH,Pedagogy,High (brand voice),Build your own Bespoke library,สร้างคลัง Bespoke ของคุณเอง,,
ped.bespokeLead,Pedagogy,High (brand voice),"If a Google Translate lookup feels off — wrong tone, wrong register, not how your friend would say it — you are not stuck with the machine. Thai Recall lets you write the phrase the way real speakers write it.",ถ้าผลการค้นจาก Google Translate รู้สึกไม่ใช่ — โทนผิด ระดับภาษาผิด หรือไม่ใช่แบบที่เพื่อนคุณพูด — คุณไม่ติดอยู่กับเครื่อง Thai Recall ให้คุณเขียนวลีแบบที่คนพูดจริงเขียน,,
ped.bespokeP1,Pedagogy,High (brand voice),"On the Practice screen, tap the clear X to empty the fields. Ask a Thai friend to type the Thai you actually need. Save the entry into your Bespoke library — your personal collection, shaped by your conversations, not only by an automatic draft.",บนหน้า Practice แตะ X เพื่อล้างข้อความ ขอให้เพื่อนคนไทยพิมพ์ภาษาไทยที่คุณต้องการจริง ๆ แล้วบันทึกลงคลัง Bespoke — คอลเลกชันส่วนตัวจากบทสนทนาของคุณ ไม่ใช่แค่ฉบับร่างจากระบบอัตโนมัติ,,
ped.bespokeP2,Pedagogy,High (brand voice),"Star it as a Favourite, then let Spaced Repetition bring it back until it sticks. You keep full editorial control: edit the romanisation, keep what sounds right to your ear, and rehearse the wording you will say in the street.",ติดดาวเป็นรายการโปรด แล้วให้การทบทวนแบบเว้นระยะนำกลับมาจนติด คุณมีอำนาจบรรณาธิการเต็มที่: แก้การถอดเสียง เก็บสิ่งที่หูคุณรู้สึกถูก และซ้อมถ้อยคำที่จะพูดบนถนน,,
ped.bespokeP3,Pedagogy,High (brand voice),Lookup is a starting point. Your Bespoke library is the syllabus you author yourself.,การค้นหาคือจุดเริ่ม คลัง Bespoke คือหลักสูตรที่คุณเขียนเอง,,
ped.faq,Pedagogy,High (brand voice),FAQ,คำถามที่พบบ่อย,,
ped.f1,Pedagogy,High (brand voice),Who is Thai Recall for?,Thai Recall เหมาะกับใคร?,,
ped.f1p,Pedagogy,High (brand voice),"Expats, partners, retirees, digital nomads, and frequent visitors who already understand quite a bit — and need help staying in conversation when one phrase disappears.",ชาวต่างชาติ คู่รัก ผู้เกษียณ โนแมด และผู้มาบ่อยที่เข้าใจอยู่พอสมควร — และต้องการความช่วยเหลือเมื่อวลีหนึ่งหายไปตอนพูด,,
ped.f2,Pedagogy,High (brand voice),What if a phrase isn’t in the app?,ถ้าแอปยังไม่มีวลีที่ต้องการ?,,
ped.f2p,Pedagogy,High (brand voice),"Clear the Practice fields with the X, ask a Thai friend to type the wording you need, save it to your Bespoke library, favourite it, and use Spaced Repetition to lock it in — or look it up live when you only need a fast patch.",ล้างช่องบนหน้า Practice ด้วย X ขอให้เพื่อนคนไทยพิมพ์ถ้อยคำที่ต้องการ บันทึกลงคลัง Bespoke ติดดาว แล้วใช้การทบทวนแบบเว้นระยะให้ติด — หรือค้นหาสดเมื่อต้องการแผ่นปะเร็ว ๆ,,
